region;public;school;city;polish_candidates;polish_average;math_candidates;math_average;english_candidates;english_average
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W ŻOŁĘDOWIE;Żołędowo;20;67,45;20;48,4;20;72,55
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. MIKOŁAJA KOPERNIKA W SICIENKU;Sicienko;15;70,33333333;15;61,33333333;15;68,13333333
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KOMISJI EDUKACJI NARODOWEJ W STRZELEWIE;Strzelewo;6;46,16666667;6;36;6;69,83333333
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. ANIELI HRABINY POTULICKIEJ W WOJNOWIE;Wojnowo;18;60,61111111;18;47,33333333;18;57,38888889
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KARDYNAŁA STEFANA WYSZYŃSKIEGO W KRUSZYNIE;Kruszyn;13;58,15384615;13;57,23076923;13;68,61538462
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. ZIEMI KRAJEŃSKIEJ W SAMSIECZNIE;Samsieczno;11;71,54545455;11;59,63636364;11;66,81818182
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 4 IM. MARII SKŁODOWSKIEJ-CURIE W SOLCU KUJAWSKIM;Solec Kujawski;41;56,82926829;41;49,46341463;40;61,9
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 1 IM. TADEUSZA KOŚCIUSZKI W SOLCU KUJAWSKIM;Solec Kujawski;15;47,06666667;15;49,6;18;53
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 2 IM. ADAMA MICKIEWICZA Z ODDZIAŁAMI SPORTOWYMI;Bydgoszcz;30;39,8;30;24,66666667;32;47,0625
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 10 IM. JANA KOCHANOWSKIEGO Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY;Bydgoszcz;26;55,88461538;26;33,69230769;29;52,55172414
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 12 IM. FRANCISZKA ŻWIRKI I STANISŁAWA WIGURY Z ODDZIAŁAMI INTEGRACYJNYMI W BYDGOSZCZY;Bydgoszcz;18;56,88888889;18;47,77777778;21;77,61904762
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 13 IM. PREZYDENTA LEONA BARCISZEWSKIEGO Z ODDZIAŁAMI INTEGRACYJNYMI I SPECJALNYMI W BYDGOSZCZY;Bydgoszcz;17;58,52941176;17;40,47058824;17;66,11764706
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 16 IM. MARIANA TURWIDA Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY;Bydgoszcz;38;69,13157895;38;57,57894737;41;80,97560976
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 18 IM. HANSA CHRISTIANA ANDERSENA Z ODDZIAŁAMI INTEGRACYJNYMI W BYDGOSZCZY;Bydgoszcz;29;59;29;52;30;59,06666667
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 19 IM. MIKOŁAJA KOPERNIKA W BYDGOSZCZY;Bydgoszcz;8;49,25;8;37;8;62,125
